通し番号	章	章内の通番	英単語	品詞	訳
1	Unit 1	1	gift	名	贈り物
2	Unit 1	2	same	形	同じ
3	Unit 1	3	met	■	meetの過去形・過去分詞
4	Unit 1	4	half	形	半分の
5	Unit 1	5	else	副	そのほかに
6	Unit 1	6	for the first time in ~	句	~ぶりに
7	Unit 1	7	half a year	句	半年
8	Unit 1	8	read	■	readの過去形・過去分詞
9	Unit 1	9	rode	動	rideの過去形
10	Unit 1	10	roller coaster	名	ジェットコースター
11	Unit 1	11	view	名	眺め
12	Unit 1	12	scary	形	こわい
13	Unit 1	13	tournament	名	勝ち抜き戦、トーナメント
14	Unit 1	14	coach	動	指導する
15	Unit 1	15	other	形	ほかの、別の
16	Unit 1	16	choice	名	選択、選ばれた人 [もの]
17	Unit 1	17	honor	名	光栄なこと
18	Unit 1	18	come out of ~	句	〜から外へ出る
19	Unit 1	19	look for ~	句	〜を探す
20	Unit 1	20	feel	動	~を感じる
21	Unit 1	21	comic book	名	漫画本
22	Unit 1	22	feel down	句	落ちこむ
23	Unit 1	23	Thursday	名	木曜日
24	Unit 1	24	sunny	形	晴れた
25	Unit 1	25	awesome	形	すごい
26	Unit 1	26	surprised	形	驚いて
27	Unit 1	27	accept	動	受け入れる
28	Unit 1	28	offer	名	申し入れ
29	Unit 1	29	joy	名	喜び
30	Unit 1	30	talk about ~	句	~について話す
31	Unit 1	31	at first	句	最初は
32	Unit 1	32	excited	形	わくわくして
33	Unit 1	33	think	動	思う、考える
34	Unit 1	34	angry	形	怒った
35	Unit 1	35	nervous	形	緊張した
36	Unit 1	36	cloudy	形	くもって
37	Unit 1	37	made	■	makeの過去形・過去分詞
38	Unit 1	38	myself	代	私自身
39	Unit 1	39	movie	名	映画
40	Unit 1	40	order	動	注文する
41	Unit 1	41	came	■	comeの過去形
42	Unit 1	42	lend	動	貸す
43	Unit 1	43	lent	■	lendの過去形・過去分詞
44	Unit 1	44	something	代	何か
45	Unit 1	45	surprising	形	驚かせるような
46	Unit 1	46	happen	動	起こる
47	Unit 1	47	find	動	見つける
48	Unit 1	48	found	■	findの過去形・過去分詞
49	Unit 1	49	by oneself	句	自分で、ひとりで
50	Unit 1	50	come up	句	近づく、やってくる
51	Unit 1	51	have a good time	句	楽しい時間を過ごす
52	Unit 1	52	be excited about ~	句	~にわくわくしている
53	Unit 1	53	perfect	形	完全な、完璧な
54	Unit 1	54	memory	名	記憶、記憶力、思い出
55	Daily Life 1	1	cycling	名	サイクリング
56	Daily Life 1	2	This is ~.	句	〈電話で〉こちらは〜です。
57	Daily Life 1	3	What's up?	句	どうしたの。
58	Daily Life 1	4	Why don't you ~?	句	~しませんか。
